Type, Insertions, Time
BST, 5000, 0.002682
BST, 10000, 0.003157
BST, 15000, 0.005643
BST, 20000, 0.006706
BST, 25000, 0.006708
BST, 30000, 0.011012
BST, 35000, 0.012876
BST, 40000, 0.021011
BST, 45000, 0.013385
BST, 50000, 0.017342
AVL, 5000, 0.003143
AVL, 10000, 0.004605
AVL, 15000, 0.005464
AVL, 20000, 0.007811
AVL, 25000, 0.010089
AVL, 30000, 0.012451
AVL, 35000, 0.017277
AVL, 40000, 0.016885
AVL, 45000, 0.020805
AVL, 50000, 0.042748
TREAP, 5000, 0.012940
TREAP, 10000, 0.054903
TREAP, 15000, 0.121600
TREAP, 20000, 0.215867
TREAP, 25000, 0.318447
TREAP, 30000, 0.488533
TREAP, 35000, 0.698690
TREAP, 40000, 0.957508
TREAP, 45000, 1.270958
TREAP, 50000, 1.605161
SKIP, 5000, 0.002237
SKIP, 10000, 0.002837
SKIP, 15000, 0.004738
SKIP, 20000, 0.006872
SKIP, 25000, 0.009088
SKIP, 30000, 0.012627
SKIP, 35000, 0.015382
SKIP, 40000, 0.025058
SKIP, 45000, 0.020791
SKIP, 50000, 0.021558
